
id,name,area,category,address,naver_map_url,tags,memo,visited,priority,lat,lng
1,옹녀갈치 강쇠장어,,음식점,부산 서구 대영로27번길 2,,,,False,3,35.1109597,129.0158128
2,문쏘 제주협재점,,음식점,제주 제주시 한림상로 15-5,,,,False,3,33.4056863,126.2567242
3,안녕협재씨 제주협재점,,음식점,제주 제주시 금능길 12,,,,False,3,33.3978506,126.2434885
4,미미루,,음식점,경기 김포시 김포한강8로194번길 159,,,,False,3,37.6457705,126.6694127
5,심비디움 현대 가든파이브점,,음식점,서울 송파구 충민로 66,,,,False,3,37.4780311,127.1245785
6,작은따옴표 신원점,,BAR,서울 관악구 신원로 5-1,,,,False,3,37.4832052,126.9275859
7,쓰윗,,카페,서울 성동구 연무장길 20,,,,False,3,37.544659,127.051787
8,트릴로지 합정,,BAR,서울 마포구 희우정로 19,,,,False,3,37.5488144,126.9105216
9,푸슈,,음식점,서울 서초구 서초대로19길 10-11,,,,False,3,37.4899706,126.991643
10,설이동,,음식점,서울 종로구 종로3길 24-17,,,,False,3,37.571741,126.9797289
11,넘실집,,음식점,서울 구로구 디지털로32다길 46,,,,False,3,37.4812368,126.8989886
12,금정참치 본점,,음식점,경기 수원시 권선구 서수원로523번길 20-8,,,,False,3,37.2723514,126.9582935
13,스테이564 미사아일랜드,,음식점,경기 하남시 미사동로 66,,,,False,3,37.5726029,127.2026635
14,방이 광안리,,음식점,서울 송파구 올림픽로32길 22-14,,,,False,3,37.5138615,127.1088568
15,복무춘,,음식점,경기 안양시 만안구 안양로398번길 9,,,,False,3,37.4066119,126.915582
16,바르미심비디움 NC이스트폴구의점,,음식점,서울 광진구 아차산로 402,,,,False,3,37.5366969,127.0878216
17,더빛남,,음식점,서울 송파구 오금로18길 5,,,,False,3,37.5102692,127.1108632
18,월화식당 마포본점,,음식점,서울 마포구 도화길 29,,,,False,3,37.5408671,126.9491679
19,오끼참치앤스시 신사점,,음식점,서울 강남구 강남대로152길 24,,,,False,3,37.5175105,127.0214137
20,도암식당,,음식점,강원 평창군 대관령로 103,,,,False,3,37.6725197,128.7080795
21,바르미 스시샤브 반포점,,음식점,서울 서초구 신반포로33길 27,,,,False,3,37.5104312,127.0100932
22,한국횟집,,음식점,서울 중랑구 중랑역로 34,,,,False,3,37.5970979,127.076209
23,로리스 더 프라임 립,,음식점,서울 서초구 서초대로 411,,,,False,3,37.4982546,127.0260065
24,뇌산마을 신림직영점,,BAR,서울 관악구 남부순환로 1600-9,,,,False,3,37.4838135,126.9289921
25,요물 마곡발산점,,음식점,서울 강서구 마곡중앙6로 93,,,,False,3,37.5601436,126.8377731
26,밀숲 과천점,,음식점,경기도 과천시 과천동 521-6,,,,False,3,37.449575,126.998386
27,테시오,,음식점,서울 광진구 영화사로 19,,,,False,3,37.5576738,127.0896162
28,합천돼지국밥,,음식점,부산 사상구 사상로309번길 7,,,,False,3,35.1722529,128.982968
29,숙성장인풍도가,,음식점,인천 계양구 계산새로87번길 16,,,,False,3,37.5392633,126.738224
30,인천항구횟집,,음식점,인천 중구 연안부두로75번길 34,,,,False,3,37.45154,126.6018952
31,에베레스트커리월드,,음식점,서울 종로구 종로 305,,,,False,3,37.572079,127.0115759
32,에베레스트 레스토랑 동대문점,,음식점,서울 종로구 종로51가길 2-1,,,,False,3,37.5726086,127.0125161
33,광명전통시장,,쇼핑,경기 광명시 광이로13번길 17-5,,,,False,3,37.4798044,126.8564418
34,불도장 중화요리전문점,,음식점,서울 금천구 시흥대로115길 37,,,,False,3,37.4678753,126.8956855
35,장성식당,,음식점,서울 관악구 인헌4길 7,,,,False,3,37.4745157,126.9664118
36,본참치,,음식점,부산 중구 중앙대로81번길 9,,,,False,3,35.10486,129.0350417
37,함평육회 사당역점,,음식점,서울 서초구 방배천로4길 11,,,,False,3,37.4780712,126.9834566
38,함평육회 방이본점,,음식점,서울 송파구 올림픽로32길 22-19,,,,False,3,37.5135501,127.1085735
39,장장정정,,음식점,경기 수원시 권선구 입북로26번길 16-17,,,,False,3,37.2933869,126.9608795
40,숙성21,,음식점,강원 춘천시 영서로 1381,,,,False,3,37.8064988,127.7715855
41,바다약방 연남본점,,BAR,서울 마포구 동교로 266-11,,,,False,3,37.5629006,126.925982
42,연남 잠수함,,BAR,서울 마포구 동교로38길 41,,,,False,3,37.5610934,126.9258576
43,어부의딸,,음식점,서울 동작구 동작대로25길 9-6,,,,False,3,37.4861819,126.981377
44,또순이네집,,음식점,서울 영등포구 선유로47길 16,,,,False,3,37.5357958,126.8953676
45,장어나라,,음식점,서울 영등포구 국회대로 553,,,,False,3,37.5285859,126.8960118
46,모서릿집 고양지축점,,음식점,경기 고양시 덕양구 안진4길 22,,,,False,3,37.6473036,126.9144805
47,모서릿집 본점,,음식점,충북 청주시 흥덕구 봉산2길 46-2,,,,False,3,36.6215067,127.3198305
48,그냥,,음식점,경기 부천시 원미구 송내대로74번길 34,,,,False,3,37.4897043,126.7560637
49,몯갈비 본점,,음식점,인천 서구 신석로 64,,,,False,3,37.5098204,126.6689716
50,한강촌,,음식점,경기 김포시 김포한강2로24번길 78-51,,,,False,3,37.6470817,126.6766911
51,대디스바베큐,,음식점,경기 양평군 옥천문화마을3길 15-24,,,,False,3,37.5127462,127.4633019
52,무구옥,,음식점,서울 종로구 율곡로1길 7,,,,False,3,37.5764071,126.9799066
53,석종,,음식점,서울 강남구 도산대로 446,,,,False,3,37.5235958,127.045081
54,철철복집,,음식점,서울 중구 을지로3길 29,,,,False,3,37.5673497,126.9813154
55,무지개호프,,BAR,서울 종로구 창신길 12,,,,False,3,37.572161,127.0106943
56,한우집투뿔사위 본점,,음식점,경기 김포시 풍무로 202,,,,False,3,37.6130803,126.7253825
57,도량,,음식점,서울 종로구 자하문로6길 6,,,,False,3,37.5780066,126.9724921
58,웨스틴 조선 서울 홍연,,음식점,서울 중구 소공로 106,,,,False,3,37.5644686,126.9800463
59,모코시야,,음식점,서울 용산구 백범로87길 50-1,,,,False,3,37.5394321,126.9694896
60,엄마네 삼겹살 부천중동본점,,음식점,경기 부천시 원미구 조마루로297번길 51,,,,False,3,37.5001016,126.7760452
61,종점슈퍼,,마트/편의점,경기 부천시 오정구 대장로118번길 9-1,,,,False,3,37.5419909,126.7882597
62,어가 가이텐스시,,음식점,부산 금정구 장전온천천로 95,,,,False,3,35.2334224,129.0891467
63,화규,,음식점,서울 마포구 양화로6길 57-7,,,,False,3,37.5489922,126.9175767
64,라모따,,음식점,서울 강남구 논현로153길 54,,,,False,3,37.5203487,127.0239175
65,미쁘동 연남본점,,음식점,서울 마포구 동교로38길 33-21,,,,False,3,37.5621119,126.9262048
66,봉순게장,,음식점,경기 부천시 오정구 역곡로284번길 18,,,,False,3,37.5098064,126.8134174
67,글로리칼국수 잠실본점,,음식점,서울 송파구 올림픽로32길 57-1,,,,False,3,37.5123328,127.1125661
68,우주옥 세종본점,,음식점,세종 나성로 125-10,,,,False,3,36.4900827,127.2584234
69,우주옥,,음식점,서울 강남구 도산대로70길 9,,,,False,3,37.5230692,127.0452797
70,초불집,,음식점,서울 중구 을지로12길 21-1,,,,False,3,37.5652446,126.991006
71,팔담순대 김포본점,,음식점,경기 김포시 운곡로 5,,,,False,3,37.6505825,126.6586065
72,비틀스피자 연남점,,음식점,서울 마포구 성미산로23길 74,,,,False,3,37.5663361,126.9197771
73,제주진흑돼지,,음식점,강원 양구군 청춘로 25-31,,,,False,3,38.1006333,127.9888933
74,장수오골계숯불구이,,음식점,강원 양구군 양록길23번길 6-17,,,,False,3,38.1072513,127.9862369
75,대월오골계 숯불구이,,음식점,강원 양구군 춘양로 2725,,,,False,3,38.0709456,127.991841
76,강원한우정육식당 양구점,,음식점,강원 양구군 정중앙로 202,,,,False,3,38.0791137,128.017827
77,미녀고기,,음식점,인천 부평구 배곶로 10,,,,False,3,37.4699699,126.6998292
78,종로찌게마을,,음식점,서울 종로구 삼일대로30길 10-4,,,,False,3,37.573658,126.988313
79,옳은휴식하루,,생활/문화,경기 파주시 소라지로 106-2,,,,False,3,37.7362172,126.7005571
80,대추나무집,,음식점,강원 춘천시 사북면 원평길 235,,,,False,3,38.0033821,127.6565556
81,부일안창살,,음식점,인천 부평구 시장로 55-1,,,,False,3,37.4956344,126.7275448
82,이상헌의 별난생고기,,음식점,대구 수성구 상화로 46,,,,False,3,35.8346877,128.6121867
83,닌니쿠요코초 신용산본점,,BAR,서울 용산구 한강대로52길 34,,,,False,3,37.531543,126.9727461
84,무봤나세발낙지,,음식점,부산 동구 조방로49번길 11,,,,False,3,35.1397529,129.0606723
85,보성 양대창,,음식점,경기 수원시 팔달구 갓매산로56번길 13,,,,False,3,37.2698166,127.0052858
86,정식당,,음식점,서울 강남구 선릉로158길 11,,,,False,3,37.5256529,127.0410861
87,바리에가타 신논현,,음식점,서울 서초구 사평대로55길 37,,,,False,3,37.5057197,127.0220185
88,바리에가타 명동,,음식점,서울 중구 남대문로 55,,,,False,3,37.5624933,126.9810557
89,몽토함,,음식점,경북 경주시 진현로1길 59-9,,,,False,3,35.7862269,129.3274212
90,제주옥탑 블랙BBQ,,음식점,서울 강남구 언주로170길 34,,,,False,3,37.5264873,127.0364514
91,압구정곱창,,음식점,서울 강남구 압구정로42길 25-8,,,,False,3,37.5270636,127.0356852
92,토마레제면소,,음식점,전북 익산시 선화로3길 33-3,,,,False,3,35.9518508,126.9400545
93,제갈양 제주협재점,,음식점,제주 제주시 한림로 155,,,,False,3,33.3860276,126.2244437
94,직구고,,음식점,제주 제주시 한림로 232,,,,False,3,33.3872107,126.2326476
95,수선화식당 협재 본점,,음식점,제주 제주시 협재1길 24,,,,False,3,33.397197,126.2431805
96,식육,,음식점,대구 중구 공평로8길 39,,,,False,3,35.866571,128.6021507
97,만돈,,음식점,경기 고양시 일산동구 정발산로 24,,,,False,3,37.6544148,126.7729644
98,포폴로피자,,음식점,경기 고양시 일산동구 정발산로 43-20,,,,False,3,37.6586143,126.7732459
99,싹쓰리곱창 성수본점,,음식점,서울 성동구 뚝섬로 408,,,,False,3,37.538469,127.0559049
100,갓잇 성수홀리워터점,,음식점,서울 성동구 연무장7가길 10,,,,False,3,37.5428799,127.0553285
101,육연정 교동점,,BAR,대구 중구 교동3길 36,,,,False,3,35.8726732,128.598464
102,서교주담 합정,,BAR,서울 마포구 어울마당로5길 46,,,,False,3,37.5499208,126.9182087
103,역전포장마차 홍대연남점,,BAR,서울 마포구 양화로 183,,,,False,3,37.5583475,126.9251388
104,쿠시노주방,,BAR,서울 마포구 동교로 218-1,,,,False,3,37.559505,126.9239455
105,전철우제주해장고향랭면 국회의사당점,,음식점,서울 영등포구 국회대로76길 22,,,,False,3,37.5296716,126.9224133
106,아톰의비밀기지 홍대점,,BAR,서울 마포구 양화로6길 79,,,,False,3,37.5485123,126.91869
107,할머니순대국,,음식점,서울 중구 퇴계로87길 3,,,,False,3,37.5659088,127.021125
108,만배아리랑보쌈 등촌본점,,음식점,서울 강서구 등촌로51길 17,,,,False,3,37.5488955,126.8623998
109,아리계곡 종각점,,BAR,서울 종로구 우정국로2길 41,,,,False,3,37.5696188,126.9854031
110,아리계곡,,BAR,서울 강남구 테헤란로1길 28-14,,,,False,3,37.5004105,127.0285452
111,백옥 명동,,음식점,서울 중구 명동8길 8-23,,,,False,3,37.5628872,126.9839841
112,백옥 성수,,음식점,서울 성동구 성수이로14길 5,,,,False,3,37.5410455,127.0562928
113,경아식당 본점,,음식점,서울 강서구 마곡중앙6로 85,,,,False,3,37.5601954,126.8368109
114,소랑,,음식점,부산 수영구 광안해변로255번길 20-5,,,,False,3,35.1560592,129.1217647
115,이케멘스 본점,,음식점,경남 창원시 성산구 중앙대로 95,,,,False,3,35.223709,128.6785738
116,송산,,음식점,경기 의정부시 동일로122번길 40,,,,False,3,37.699314,127.0567965
117,33한우고집,,음식점,경기 김포시 김포한강1로78번길 5-28,,,,False,3,37.6448332,126.6713577
118,반룡산,,음식점,서울 강남구 테헤란로78길 26,,,,False,3,37.5044952,127.0558583
119,마초 스테이크,,음식점,서울 강남구 논현로159길 10,,,,False,3,37.5231164,127.0273583
120,진미식당,,음식점,서울 용산구 백범로90길 46,,,,False,3,37.5366941,126.9701829
121,어부의딸 본점,,음식점,서울 강서구 공항대로46길 97,,,,False,3,37.551798,126.85095
122,취양,,음식점,서울 용산구 한강대로54길 7,,,,False,3,37.5328467,126.9720577
123,우곱집 잠실본점,,음식점,서울 송파구 백제고분로7길 16-20,,,,False,3,37.5096581,127.0807524
124,대장군,,음식점,충북 충주시 미륵송계로 105,,,,False,3,36.8417287,128.0161376
125,가마꿉 당하 본점,,음식점,인천 서구 청마로167번안길 15,,,,False,3,37.5928623,126.675159
126,하카타 호르몬,,음식점,서울 마포구 독막로5길 26,,,,False,3,37.5491347,126.9185676
127,모토이시 김포구래점,,음식점,경기 김포시 김포한강9로75번길 24,,,,False,3,37.643451,126.6241052
128,투뿔한우천국 논현점,,음식점,서울 강남구 학동로2길 49,,,,False,3,37.5085275,127.0237483
129,대물섬,,음식점,서울 용산구 독서당로 65-11,,,,False,3,37.5340564,127.0081191
130,노량진할머니왕파전,,음식점,서울 동작구 만양로 90,,,,False,3,37.5114475,126.9445249
131,정남옥 노량진점,,음식점,서울 동작구 노량진로 148-5,,,,False,3,37.5132839,126.9424045
132,할매기름집,,음식점,서울 구로구 공원로6가길 49,,,,False,3,37.5034142,126.8899149
133,치마오,,음식점,서울 송파구 올림픽로35길 112,,,,False,3,37.517819,127.1017233
134,한성치킨,,음식점,경기 김포시 석모로73번길 85,,,,False,3,37.6495282,126.6426843
135,카이센동우니도,,음식점,서울 강남구 압구정로2길 15,,,,False,3,37.5207083,127.0198928
136,산골,,음식점,서울 관악구 관악로 211,,,,False,3,37.48397,126.9542206
137,신사와 칼국수 담양본점,,음식점,전남 담양군 대치5길 131,,,,False,3,35.2868102,126.8813968
138,토메루 성수점,,BAR,서울 성동구 연무장5가길 7,,,,False,3,37.5438577,127.0540514
139,심퍼티쿠시 성수점,,음식점,서울 성동구 아차산로 6,,,,False,3,37.5476731,127.0451043
140,만리어소,,음식점,경기 파주시 소라지로 13,,,,False,3,37.7329477,126.7101429
141,동학,,BAR,서울 관악구 대학5길 29,,,,False,3,37.4693945,126.9396498
142,우니도 더현대 서울,,음식점,서울 영등포구 여의대로 108,,,,False,3,37.5259831,126.9277275
143,오복수산참치 마곡점,,음식점,서울 강서구 마곡중앙8로 85,,,,False,3,37.5611255,126.8369853
144,양양집 구의점,,음식점,서울 광진구 아차산로 457,,,,False,3,37.5396228,127.0929273
145,루위,,음식점,서울 강남구 도산대로 211,,,,False,3,37.5206174,127.029843
146,우삼집,,음식점,서울 마포구 동교로34길 11,,,,False,3,37.5610495,126.9250208
147,귀우,,음식점,인천 서구 탁옥로51번길 6,,,,False,3,37.5443314,126.6754258
148,백제정육점,,음식점,서울 종로구 종로35길 34,,,,False,3,37.5726483,127.0038893
149,연하동 연남본점,,음식점,서울 마포구 연남로 6,,,,False,3,37.560509,126.9235456
150,용산피보,,BAR,서울 용산구 백범로99길 40,,,,False,3,37.5350261,126.9712637
151,함평국밥,,음식점,서울 중랑구 봉우재로33길 73,,,,False,3,37.5954638,127.0892363
152,비스트로인타임 사당본점,,BAR,서울 서초구 방배천로4길 15-2,,,,False,3,37.4781706,126.9835843
153,노량진101,,쇼핑,서울 동작구 노들로 674,,,,False,3,37.5148693,126.9368431
154,너구리식당,,음식점,대구 남구 성당로34길 5-2,,,,False,3,35.848509,128.5702964
155,장원식당,,음식점,대구 중구 태평로 256-4,,,,False,3,35.8722834,128.6051545
156,루나소사이어티,,BAR,서울 종로구 삼일대로32길 49-5,,,,False,3,37.5757719,126.9896361
157,불란서와이너리,,BAR,서울 영등포구 경인로108길 7,,,,False,3,37.5174597,126.9110747
158,바밤바,,BAR,서울 영등포구 영중로4길 25-1,,,,False,3,37.5177999,126.9092087
159,샤블리 신사본점,,음식점,서울 강남구 강남대로152길 35,,,,False,3,37.5180951,127.0222144
160,아르데레,,음식점,서울 강남구 압구정로42길 49,,,,False,3,37.5256482,127.0345698
161,이복희해장 선릉본점,,음식점,서울 강남구 테헤란로70길 14-12,,,,False,3,37.5042557,127.0528516
162,화이트락,,음식점,서울 용산구 한강대로80길 21-19,,,,False,3,37.54351,126.9737736
163,팡즈,,음식점,서울 송파구 백제고분로41길 27,,,,False,3,37.5083483,127.1066567
164,우시이토,,음식점,서울 영등포구 도림로 434-11,,,,False,3,37.5148578,126.895043
165,랩틱,,음식점,서울 종로구 자하문로7길 68-2,,,,False,3,37.580278,126.9691417
166,재즈바주옥,,음식점,서울 광진구 구의강변로 64,,,,False,3,37.5361187,127.0928228
167,페르바코,,음식점,서울 광진구 능동로16길 30,,,,False,3,37.5447391,127.0748335
168,나에코,,음식점,서울 서초구 서초대로75길 45,,,,False,3,37.5015085,127.0245677
169,감나무집기사식당,,음식점,서울 마포구 연남로 25,,,,False,3,37.5617165,126.9221264
170,청춘구락부 본점,,음식점,서울 마포구 토정로 308,,,,False,3,37.5401296,126.9428996
171,군몽,,음식점,서울 용산구 한남대로27가길 15,,,,False,3,37.5373938,127.0029219
172,녘,,음식점,서울 강남구 봉은사로4길 32,,,,False,3,37.5027853,127.0266697
